number_of_cells,number_of_timestep,nodes_number,gathers,wave_front_tracking,hilbert_filter,isotropic_kernel,exec_time,over
30970600000000.0,16059,2,0,1,1,0,2638.26,0
27645500000000.0,16059,2,0,1,1,0,1539.85,0
36564600000000.0,16059,2,0,1,1,0,3322.66,0
32234700000000.0,16059,2,0,1,1,0,2617.6,0
33023800000000.0,16059,2,0,1,1,0,2634.64,0
27423400000000.0,16059,2,0,1,1,0,2705.9,0
33849200000000.0,16059,2,0,1,1,0,2065.77,0
43996400000000.0,16059,2,0,1,1,0,2499.71,0
44436100000000.0,16059,2,0,1,1,0,3646.27,0
24472200000000.0,16059,2,0,1,1,0,2265.9,0
33234200000000.0,16059,2,0,1,1,0,3045.7,0
32573400000000.0,16059,2,0,1,1,0,2017.04,0
34554900000000.0,16059,2,0,1,1,0,2961.28,0
44436100000000.0,16059,2,0,1,1,0,3680.64,0
27931300000000.0,16059,2,0,1,1,0,3257.33,0
34295800000000.0,16059,2,0,1,1,0,2826.36,0
29349300000000.0,16059,2,0,1,1,0,2242.43,0
44436100000000.0,16059,2,0,1,1,0,3635.54,0
32152300000000.0,16059,2,0,1,1,0,2653.88,0
35732600000000.0,16059,2,0,1,1,0,3127.73,0
30058400000000.0,16059,2,0,1,1,0,1881.48,0
29973000000000.0,16059,2,0,1,1,0,2850.56,0
44051400000000.0,16059,2,0,1,1,0,3430.7,0
26024100000000.0,16059,2,0,1,1,0,1421.57,0
31994000000000.0,16059,2,0,1,1,0,3994.85,0
24820500000000.0,16059,2,0,1,1,0,2225.32,0
31025600000000.0,16059,2,0,1,1,0,2540.86,0
38500300000000.0,16059,2,0,1,1,0,3122.39,0
34025400000000.0,16059,2,0,1,1,0,2115.55,0
29708700000000.0,16059,2,0,1,1,0,2897.07,0
25883900000000.0,16059,2,0,1,1,0,3057.43,0
35944600000000.0,16059,2,0,1,1,0,2971.76,0
29422100000000.0,16059,2,0,1,1,0,3223.77,0
29104900000000.0,16059,2,0,1,1,0,2734.61,0
32501800000000.0,16059,2,0,1,1,0,3077.81,0
31994000000000.0,16059,2,0,1,1,0,3071.25,0
34708000000000.0,16059,2,0,1,1,0,2884.65,0
39242300000000.0,16059,2,0,1,1,0,3193.23,0
26153800000000.0,16059,2,0,1,1,0,2784.37,0
39022400000000.0,16059,2,0,1,1,0,4236.98,0
40891100000000.0,16059,2,0,1,1,0,3337.08,0
26855800000000.0,16059,2,0,1,1,0,3085.21,0
25573400000000.0,16059,2,0,1,1,0,1483.07,0
41303300000000.0,16059,2,0,1,1,0,2370.33,0
34418200000000.0,16059,2,0,1,1,0,3449.56,0
32326400000000.0,16059,2,0,1,1,0,2821.63,0
33251800000000.0,16059,2,0,1,1,0,2868.0,0
28354300000000.0,16059,2,0,1,1,0,2687.08,0
24422100000000.0,16059,2,0,1,1,0,2186.59,0
30013800000000.0,16059,2,0,1,1,0,2731.1,0
24823600000000.0,16059,2,0,1,1,0,2257.27,0
40881200000000.0,16059,2,0,1,1,0,2341.28,0
28199500000000.0,16059,2,0,1,1,0,3452.39,0
27470500000000.0,16059,2,0,1,1,0,2631.38,0
43556700000000.0,16059,2,0,1,1,0,3394.93,0
41440700000000.0,16059,2,0,1,1,0,3301.48,0
17525500000000.0,16059,2,0,1,1,0,1715.65,0
24202700000000.0,16059,2,0,1,1,0,2574.1,0
40325000000000.0,16059,2,0,1,1,0,4091.27,0
34955300000000.0,16059,2,0,1,1,0,1968.61,0
30503400000000.0,16059,2,0,1,1,0,2411.56,0
23313400000000.0,16059,2,0,1,1,0,2200.21,0
44436100000000.0,16059,2,0,1,1,0,2543.54,0
32214500000000.0,16059,2,0,1,1,0,3059.71,0
44436100000000.0,16059,2,0,1,1,0,3672.23,0
20714200000000.0,16059,2,0,1,1,0,1851.99,0
30724400000000.0,16059,2,0,1,1,0,2743.18,0
26153800000000.0,16059,2,0,1,1,0,2518.99,0
39150400000000.0,16059,2,0,1,1,0,3732.93,0
27837800000000.0,16059,2,0,1,1,0,2817.47,0
44381100000000.0,16059,2,0,1,1,0,3707.3,0
31618100000000.0,16059,2,0,1,1,0,2801.46,0
44436100000000.0,16059,2,0,1,1,0,3669.31,0
22851900000000.0,16059,2,0,1,1,0,2507.59,0
38002300000000.0,16059,2,0,1,1,0,3067.73,0
44182200000000.0,16059,2,0,1,1,0,3693.28,0
40627300000000.0,16059,2,0,1,1,0,4899.23,0
40506400000000.0,16059,2,0,1,1,0,3294.5,0
37868200000000.0,16059,2,0,1,1,0,3101.46,0
44436100000000.0,16059,2,0,1,1,0,4041.92,0
44436100000000.0,16059,2,0,1,1,0,3724.23,0
37746200000000.0,16059,2,0,1,1,0,3211.71,0
39103800000000.0,16059,2,0,1,1,0,3829.53,0
18331700000000.0,16059,2,0,1,1,0,1238.37,0
42150800000000.0,16059,2,0,1,1,0,3714.79,0
34598100000000.0,16059,2,0,1,1,0,2852.64,0
44436100000000.0,16059,2,0,1,1,0,3721.49,0
40881200000000.0,16059,2,0,1,1,0,3454.75,0
39929300000000.0,16059,2,0,1,1,0,3759.32,0
37732300000000.0,16059,2,0,1,1,0,2922.04,0
41743000000000.0,16059,2,0,1,1,0,3211.95,0
31994000000000.0,16059,2,0,1,1,0,3148.67,0
34787100000000.0,16059,2,0,1,1,0,2947.18,0
28414900000000.0,16059,2,0,1,1,0,2312.6,0
22953200000000.0,16059,2,0,1,1,0,2332.01,0
33938500000000.0,16059,2,0,1,1,0,2624.75,0
31547700000000.0,16059,2,0,1,1,0,2576.77,0
20895000000000.0,16059,2,0,1,1,0,1894.7,0
38445300000000.0,16059,2,0,1,1,0,2950.68,0
24991600000000.0,16059,2,0,1,1,0,1475.85,0
44106300000000.0,16059,2,0,1,1,0,3402.63,0
42404700000000.0,16059,2,0,1,1,0,3581.02,0
40176600000000.0,16059,2,0,1,1,0,3322.42,0
44436100000000.0,16059,2,0,1,1,0,3727.29,0
44436100000000.0,16059,2,0,1,1,0,3788.04,0
34872900000000.0,16059,2,0,1,1,0,2645.4,0
25899900000000.0,16059,2,0,1,1,0,2780.0,0
40946100000000.0,16059,2,0,1,1,0,3346.11,0
25423100000000.0,16059,2,0,1,1,0,2479.53,0
44436100000000.0,16059,2,0,1,1,0,3707.11,0
42512500000000.0,16059,2,0,1,1,0,3381.74,0
27747500000000.0,16059,2,0,1,1,0,2515.29,0
44436100000000.0,16059,2,0,1,1,0,3719.94,0
32108300000000.0,16059,2,0,1,1,0,2773.9,0
23635800000000.0,16059,2,0,1,1,0,2034.97,0
41083500000000.0,16059,2,0,1,1,0,3319.59,0
30978300000000.0,16059,2,0,1,1,0,3434.02,0
33741900000000.0,16059,2,0,1,1,0,2833.28,0
26676600000000.0,16059,2,0,1,1,0,1533.87,0
36310600000000.0,16059,2,0,1,1,0,3248.58,0
26170300000000.0,16059,2,0,1,1,0,2446.93,0
39324700000000.0,16059,2,0,1,1,0,3800.4,0
20894000000000.0,16059,2,0,1,1,0,2073.66,0
27920300000000.0,16059,2,0,1,1,0,2760.05,0
44436100000000.0,16059,2,0,1,1,0,3881.84,0
37186100000000.0,16059,2,0,1,1,0,2103.19,0
39516000000000.0,16059,2,0,1,1,0,3562.75,0
38637700000000.0,16059,2,0,1,1,0,2293.93,0
21840600000000.0,16059,2,0,1,1,0,2077.73,0
35015800000000.0,16059,2,0,1,1,0,3214.59,0
44436100000000.0,16059,2,0,1,1,0,3725.75,0
21740800000000.0,16059,2,0,1,1,0,2843.31,0
29107600000000.0,16059,2,0,1,1,0,2884.75,0
26903200000000.0,16059,2,0,1,1,0,2530.35,0
31994000000000.0,16059,2,0,1,1,0,3019.37,0
34279300000000.0,16059,2,0,1,1,0,3443.56,0
26106600000000.0,16059,2,0,1,1,0,2454.62,0
30256100000000.0,16059,2,0,1,1,0,2366.58,0
44436100000000.0,16059,2,0,1,1,0,3674.35,0
43227000000000.0,16059,2,0,1,1,0,3788.57,0
41468200000000.0,16059,2,0,1,1,0,2365.85,0
44436100000000.0,16059,2,0,1,1,0,3599.04,0
36310600000000.0,16059,2,0,1,1,0,2213.98,0
35298300000000.0,16059,2,0,1,1,0,3115.14,0
32622700000000.0,16059,2,0,1,1,0,2954.12,0
25518200000000.0,16059,2,0,1,1,0,1646.98,0
34997700000000.0,16059,2,0,1,1,0,3166.13,0
43501800000000.0,16059,2,0,1,1,0,3411.66,0
21569900000000.0,16059,2,0,1,1,0,2008.29,0
38061700000000.0,16059,2,0,1,1,0,3088.61,0
36783600000000.0,16059,2,0,1,1,0,3296.44,0
42404700000000.0,16059,2,0,1,1,0,3618.74,0
43254400000000.0,16059,2,0,1,1,0,3533.85,0
33771400000000.0,16059,2,0,1,1,0,2933.01,0
20224500000000.0,16059,2,0,1,1,0,1803.75,0
33526300000000.0,16059,2,0,1,1,0,2751.47,0
38849800000000.0,16059,2,0,1,1,0,3386.27,0
44436100000000.0,16059,2,0,1,1,0,3723.45,0
37038300000000.0,16059,2,0,1,1,0,3192.51,0
26632900000000.0,16059,2,0,1,1,0,2359.9,0
44436100000000.0,16059,2,0,1,1,0,2527.43,0
22491000000000.0,16059,2,0,1,1,0,2289.52,0
36042000000000.0,16059,2,0,1,1,0,3129.5,0
35944600000000.0,16059,2,0,1,1,0,2919.25,0
43501800000000.0,16059,2,0,1,1,0,3508.52,0
25907100000000.0,16059,2,0,1,1,0,2638.83,0
42124700000000.0,16059,2,0,1,1,0,3587.4,0
37263700000000.0,16059,2,0,1,1,0,3122.38,0
44436100000000.0,16059,2,0,1,1,0,2517.4,0
44436100000000.0,16059,2,0,1,1,0,3689.54,0
44436100000000.0,16059,2,0,1,1,0,3932.07,0
33938500000000.0,16059,2,0,1,1,0,2783.58,0
29624100000000.0,16059,2,0,1,1,0,2474.24,0
23753600000000.0,16059,2,0,1,1,0,2529.1,0
28736800000000.0,16059,2,0,1,1,0,2800.97,0
43501800000000.0,16059,2,0,1,1,0,3574.66,0
44436100000000.0,16059,2,0,1,1,0,3693.77,0
44436100000000.0,16059,2,0,1,1,0,3694.84,0
44182200000000.0,16059,2,0,1,1,0,3645.46,0
28909600000000.0,16059,2,0,1,1,0,2346.08,0
24723100000000.0,16059,2,0,1,1,0,2156.84,0
29624100000000.0,16059,2,0,1,1,0,2437.11,0
38005600000000.0,16059,2,0,1,1,0,3483.74,0
31048800000000.0,16059,2,0,1,1,0,2668.55,0
34741100000000.0,16059,2,0,1,1,0,3051.26,0
43336900000000.0,16059,2,0,1,1,0,4181.11,0
29816400000000.0,16059,2,0,1,1,0,2422.27,0
24609700000000.0,16059,2,0,1,1,0,2314.97,0
34145800000000.0,16059,2,0,1,1,0,2862.38,0
36564600000000.0,16059,2,0,1,1,0,3355.04,0
44182200000000.0,16059,2,0,1,1,0,3655.95,0
44436100000000.0,16059,2,0,1,1,0,3494.87,0
20683000000000.0,16059,2,0,1,1,0,2632.77,0
30730500000000.0,16059,2,0,1,1,0,3428.4,0
44436100000000.0,16059,2,0,1,1,0,4570.16,0
44436100000000.0,16059,2,0,1,1,0,4788.63,0
35257600000000.0,16059,2,0,1,1,0,2766.42,0
30724400000000.0,16059,2,0,1,1,0,3600.38,0
31602700000000.0,16059,2,0,1,1,0,3216.84,0
43928300000000.0,16059,2,0,1,1,0,4362.83,0
37071900000000.0,16059,2,0,1,1,0,4223.82,0
32939500000000.0,16059,2,0,1,1,0,3408.01,0
25233100000000.0,16059,2,0,1,1,0,2469.66,0
44436100000000.0,16059,2,0,1,1,0,3632.8,0
39627000000000.0,16059,2,0,1,1,0,2223.35,0
39901800000000.0,16059,2,0,1,1,0,3348.07,0
40373400000000.0,16059,2,0,1,1,0,3623.87,0
44436100000000.0,16059,2,0,1,1,0,3871.64,0
33612200000000.0,16059,2,0,1,1,0,2969.42,0
27669300000000.0,16059,2,0,1,1,0,3351.29,0
38849800000000.0,16059,2,0,1,1,0,3448.84,0
32176800000000.0,16059,2,0,1,1,0,2899.04,0
39415200000000.0,16059,2,0,1,1,0,3272.32,0
33331000000000.0,16059,2,0,1,1,0,3025.62,0
20982600000000.0,16059,2,0,1,1,0,2134.57,0
44436100000000.0,16059,2,0,1,1,0,3630.89,0
31190900000000.0,16059,2,0,1,1,0,2824.29,0
31382800000000.0,16059,2,0,1,1,0,2567.55,0
44436100000000.0,16059,2,0,1,1,0,3722.47,0
44436100000000.0,16059,2,0,1,1,0,4016.01,0
34279300000000.0,16059,2,0,1,1,0,3149.42,0
27489100000000.0,16059,2,0,1,1,0,2796.57,0
14987900000000.0,16059,2,0,1,1,0,1974.94,0
27650200000000.0,16059,2,0,1,1,0,2484.58,0
42150800000000.0,16059,2,0,1,1,0,3560.6,0
17319400000000.0,16059,2,0,1,1,0,2186.39,0
44436100000000.0,16059,2,0,1,1,0,3596.96,0
32247900000000.0,16059,2,0,1,1,0,3243.65,0
36310600000000.0,16059,2,0,1,1,0,5196.29,1
33861400000000.0,16059,2,0,1,1,0,3438.64,0
22782000000000.0,16059,2,0,1,1,0,2489.82,0
23637900000000.0,16059,2,0,1,1,0,3062.59,0
29045400000000.0,16059,2,0,1,1,0,3253.23,0
31465300000000.0,16059,2,0,1,1,0,2058.12,0
35230100000000.0,16059,2,0,1,1,0,3889.08,0
33559300000000.0,16059,2,0,1,1,0,3648.78,0
17922000000000.0,16059,2,0,1,1,0,2309.1,0
44436100000000.0,16059,2,0,1,1,0,4450.45,0
26993500000000.0,16059,2,0,1,1,0,3179.16,0
33217900000000.0,16059,2,0,1,1,0,3692.52,0
39282800000000.0,16059,2,0,1,1,0,4365.13,0
29300700000000.0,16059,2,0,1,1,0,1902.18,0
20425900000000.0,16059,2,0,1,1,0,2019.86,0
22000200000000.0,16059,2,0,1,1,0,2326.95,0
44436100000000.0,16059,2,0,1,1,0,3750.78,0
36574000000000.0,16059,2,0,1,1,0,2465.12,0
44436100000000.0,16059,2,0,1,1,0,3574.36,0
17366900000000.0,16059,2,0,1,1,0,1838.56,0
42150800000000.0,16059,2,0,1,1,0,3539.08,0
30768400000000.0,16059,2,0,1,1,0,2614.53,0
35466000000000.0,16059,2,0,1,1,0,2933.02,0
25275200000000.0,16059,2,0,1,1,0,2927.7,0
27931300000000.0,16059,2,0,1,1,0,2226.19,0
25247000000000.0,16059,2,0,1,1,0,2033.77,0
27931300000000.0,16059,2,0,1,1,0,3920.12,0
19666800000000.0,16059,2,0,1,1,0,1978.24,0
44436100000000.0,16059,2,0,1,1,0,3786.41,0
30465900000000.0,16059,2,0,1,1,0,2936.97,0
23721200000000.0,16059,2,0,1,1,0,2193.61,0
35340000000000.0,16059,2,0,1,1,0,3593.05,0
42026600000000.0,16059,2,0,1,1,0,4205.39,0
31712600000000.0,16059,2,0,1,1,0,3181.78,0
27577500000000.0,16059,2,0,1,1,0,3293.7,0
27529400000000.0,16059,2,0,1,1,0,3135.08,0
38342000000000.0,16059,2,0,1,1,0,4300.21,0
39103800000000.0,16059,2,0,1,1,0,4406.78,0
34405700000000.0,16059,2,0,1,1,0,3550.42,0
25914200000000.0,16059,2,0,1,1,0,2282.83,0
30063800000000.0,16059,2,0,1,1,0,2453.01,0
34982800000000.0,16059,2,0,1,1,0,3710.55,0
30393200000000.0,16059,2,0,1,1,0,3922.07,0
40946100000000.0,16059,2,0,1,1,0,3577.54,0
44436100000000.0,16059,2,0,1,1,0,4236.55,0
18270300000000.0,16059,2,0,1,1,0,2234.19,0
39187300000000.0,16059,2,0,1,1,0,4204.84,0
29200900000000.0,16059,2,0,1,1,0,3211.23,0
36564600000000.0,16059,2,0,1,1,0,4001.6,0
26100600000000.0,16059,2,0,1,1,0,2592.99,0
28138500000000.0,16059,2,0,1,1,0,2493.09,0
41896900000000.0,16059,2,0,1,1,0,3647.53,0
33059100000000.0,16059,2,0,1,1,0,2633.07,0
36310600000000.0,16059,2,0,1,1,0,3001.0,0
41994400000000.0,16059,2,0,1,1,0,4333.99,0
44436100000000.0,16059,2,0,1,1,0,4656.48,0
37043800000000.0,16059,2,0,1,1,0,3810.41,0
44436100000000.0,16059,2,0,1,1,0,3813.84,0
31486100000000.0,16059,2,0,1,1,0,2601.05,0
29724300000000.0,16059,2,0,1,1,0,3659.61,0
31994000000000.0,16059,2,0,1,1,0,3505.71,0
39049900000000.0,16059,2,0,1,1,0,3346.92,0
26427800000000.0,16059,2,0,1,1,0,2623.82,0
22439700000000.0,16059,2,0,1,1,0,2658.87,0
42759800000000.0,16059,2,0,1,1,0,4402.99,0
29788900000000.0,16059,2,0,1,1,0,1661.46,0
19289500000000.0,16059,2,0,1,1,0,2438.36,0
38342000000000.0,16059,2,0,1,1,0,4274.37,0
35312500000000.0,16059,2,0,1,1,0,2910.05,0
40881200000000.0,16059,2,0,1,1,0,3418.25,0
41193400000000.0,16059,2,0,1,1,0,4322.44,0
30724400000000.0,16059,2,0,1,1,0,3607.46,0
44436100000000.0,16059,2,0,1,1,0,4916.44,0
42150800000000.0,16059,2,0,1,1,0,4575.06,0
26153800000000.0,16059,2,0,1,1,0,2783.87,0
34279300000000.0,16059,2,0,1,1,0,3889.67,0
19119100000000.0,16059,2,0,1,1,0,2402.02,0
36564600000000.0,16059,2,0,1,1,0,3970.65,0
16066400000000.0,16059,2,0,1,1,0,2241.63,0
29245600000000.0,16059,2,0,1,1,0,3362.05,0
26353900000000.0,16059,2,0,1,1,0,2642.76,0
28474000000000.0,16059,2,0,1,1,0,2959.9,0
44436100000000.0,16059,2,0,1,1,0,4160.68,0
36714100000000.0,16059,2,0,1,1,0,3930.59,0
40148000000000.0,16059,2,0,1,1,0,4579.34,0
22380200000000.0,16059,2,0,1,1,0,2511.76,0
38465400000000.0,16059,2,0,1,1,0,4261.28,0
30034200000000.0,16059,2,0,1,1,0,1944.56,0
38582700000000.0,16059,2,0,1,1,0,4246.33,0
40123700000000.0,16059,2,0,1,1,0,3925.43,0
30723300000000.0,16059,2,0,1,1,0,3152.24,0
28524800000000.0,16059,2,0,1,1,0,2881.15,0
37870400000000.0,16059,2,0,1,1,0,4114.33,0
32784300000000.0,16059,2,0,1,1,0,3398.33,0
37181200000000.0,16059,2,0,1,1,0,3053.43,0
36564600000000.0,16059,2,0,1,1,0,4188.43,0
44436100000000.0,16059,2,0,1,1,0,3469.67,0
32047400000000.0,16059,2,0,1,1,0,3793.48,0
35642300000000.0,16059,2,0,1,1,0,3579.92,0
30451600000000.0,16059,2,0,1,1,0,3728.68,0
29454800000000.0,16059,2,0,1,1,0,3375.88,0
27169500000000.0,16059,2,0,1,1,0,1860.27,0
26414800000000.0,16059,2,0,1,1,0,2635.05,0
34116700000000.0,16059,2,0,1,1,0,4020.62,0
30978300000000.0,16059,2,0,1,1,0,2029.23,0
29149000000000.0,16059,2,0,1,1,0,1694.23,0
38253000000000.0,16059,2,0,1,1,0,3827.32,0
39846800000000.0,16059,2,0,1,1,0,2304.9,0
31740100000000.0,16059,2,0,1,1,0,3608.2,0
34661000000000.0,16059,2,0,1,1,0,2920.54,0
32501800000000.0,16059,2,0,1,1,0,3572.08,0
38849800000000.0,16059,2,0,1,1,0,3810.93,0
44436100000000.0,16059,2,0,1,1,0,4655.47,0
26540900000000.0,16059,2,0,1,1,0,2203.05,0
33517500000000.0,16059,2,0,1,1,0,3764.17,0
34591300000000.0,16059,2,0,1,1,0,3525.33,0
22223300000000.0,16059,2,0,1,1,0,2587.4,0
23758300000000.0,16059,2,0,1,1,0,2722.46,0
28442400000000.0,16059,2,0,1,1,0,2625.06,0
27591800000000.0,16059,2,0,1,1,0,2915.79,0
29981300000000.0,16059,2,0,1,1,0,3189.57,0
41916200000000.0,16059,2,0,1,1,0,3484.86,0
33517500000000.0,16059,2,0,1,1,0,3930.6,0
40478900000000.0,16059,2,0,1,1,0,4351.94,0
44436100000000.0,16059,2,0,1,1,0,2589.63,0
44436100000000.0,16059,2,0,1,1,0,2540.26,0
27672200000000.0,16059,2,0,1,1,0,2243.5,0
23204800000000.0,16059,2,0,1,1,0,2854.71,0
40314000000000.0,16059,2,0,1,1,0,3552.73,0
28937100000000.0,16059,2,0,1,1,0,1601.88,0
37456000000000.0,16059,2,0,1,1,0,3286.7,0
27121900000000.0,16059,2,0,1,1,0,2342.26,0
44078900000000.0,16059,2,0,1,1,0,4604.91,0
31204700000000.0,16059,2,0,1,1,0,3178.49,0
32755800000000.0,16059,2,0,1,1,0,3713.04,0
39352200000000.0,16059,2,0,1,1,0,3942.23,0
17992400000000.0,16059,2,0,1,1,0,1170.52,0
39901800000000.0,16059,2,0,1,1,0,4311.1,0
31486100000000.0,16059,2,0,1,1,0,2052.81,0
44436100000000.0,16059,2,0,1,1,0,2557.28,0
21270000000000.0,16059,2,0,1,1,0,1775.75,0
26407700000000.0,16059,2,0,1,1,0,1812.68,0
25438200000000.0,16059,2,0,1,1,0,2748.71,0
19345100000000.0,16059,2,0,1,1,0,2297.79,0
32247900000000.0,16059,2,0,1,1,0,3822.87,0
42072800000000.0,16059,2,0,1,1,0,2417.93,0
27512000000000.0,16059,2,0,1,1,0,3323.9,0
44436100000000.0,16059,2,0,1,1,0,4603.49,0
44436100000000.0,16059,2,0,1,1,0,3684.9,0
25702400000000.0,16059,2,0,1,1,0,2460.28,0
33939600000000.0,16059,2,0,1,1,0,1994.73,0
35697300000000.0,16059,2,0,1,1,0,3701.91,0
44436100000000.0,16059,2,0,1,1,0,2525.1,0
34533200000000.0,16059,2,0,1,1,0,3106.31,0
29349300000000.0,16059,2,0,1,1,0,2412.71,0
27423400000000.0,16059,2,0,1,1,0,2807.19,0
44436100000000.0,16059,2,0,1,1,0,4679.84,0
40627300000000.0,16059,2,0,1,1,0,2405.57,0
43666600000000.0,16059,2,0,1,1,0,4187.73,0
36564600000000.0,16059,2,0,1,1,0,4266.86,0
42150800000000.0,16059,2,0,1,1,0,4379.15,0
44436100000000.0,16059,2,0,1,1,0,4843.52,0
31858600000000.0,16059,2,0,1,1,0,4638.37,1
44436100000000.0,16059,2,0,1,1,0,4712.5,0
30091200000000.0,16059,2,0,1,1,0,2191.23,0
33468000000000.0,16059,2,0,1,1,0,3996.82,0
44436100000000.0,16059,2,0,1,1,0,4777.22,0
44436100000000.0,16059,2,0,1,1,0,4219.79,0
35703100000000.0,16059,2,0,1,1,0,2997.59,0
34279300000000.0,16059,2,0,1,1,0,3066.83,0
29519500000000.0,16059,2,0,1,1,0,3476.56,0
40808700000000.0,16059,2,0,1,1,0,3177.59,0
38595900000000.0,16059,2,0,1,1,0,3346.13,0
36914100000000.0,16059,2,0,1,1,0,4086.32,0
44436100000000.0,16059,2,0,1,1,0,3670.18,0
37126300000000.0,16059,2,0,1,1,0,3863.6,0
25914200000000.0,16059,2,0,1,1,0,2831.75,0
32405100000000.0,16059,2,0,1,1,0,3853.79,0
40011700000000.0,16059,2,0,1,1,0,3960.07,0
32317200000000.0,16059,2,0,1,1,0,3526.94,0
41083500000000.0,16059,2,0,1,1,0,3457.41,0
44436100000000.0,16059,2,0,1,1,0,4851.11,0
32501800000000.0,16059,2,0,1,1,0,3668.66,0
44436100000000.0,16059,2,0,1,1,0,4494.67,0
39242300000000.0,16059,2,0,1,1,0,3869.97,0
40560700000000.0,16059,2,0,1,1,0,4003.48,0
44436100000000.0,16059,2,0,1,1,0,4843.12,0
31041900000000.0,16059,2,0,1,1,0,3821.69,0
40627300000000.0,16059,2,0,1,1,0,3406.93,0
17874500000000.0,16059,2,0,1,1,0,2479.04,0
27809700000000.0,16059,2,0,1,1,0,2557.15,0
41852900000000.0,16059,2,0,1,1,0,4386.23,0
44436100000000.0,16059,2,0,1,1,0,4337.03,0
33517500000000.0,16059,2,0,1,1,0,3187.96,0
27393700000000.0,16059,2,0,1,1,0,3453.17,0
32240500000000.0,16059,2,0,1,1,0,3180.84,0
26153800000000.0,16059,2,0,1,1,0,2706.88,0
38849800000000.0,16059,2,0,1,1,0,3380.72,0
17693100000000.0,16059,2,0,1,1,0,1762.7,0
25573000000000.0,16059,2,0,1,1,0,2767.06,0
32756900000000.0,16059,2,0,1,1,0,3312.43,0
44436100000000.0,16059,2,0,1,1,0,4119.65,0
38165800000000.0,16059,2,0,1,1,0,3459.4,0
26153800000000.0,16059,2,0,1,1,0,2770.6,0
30888200000000.0,16059,2,0,1,1,0,3279.69,0
38033800000000.0,16059,2,0,1,1,0,3218.98,0
29454800000000.0,16059,2,0,1,1,0,3624.47,0
44436100000000.0,16059,2,0,1,1,0,2543.12,0
32310100000000.0,16059,2,0,1,1,0,1903.08,0
29869300000000.0,16059,2,0,1,1,0,3562.43,0
21977600000000.0,16059,2,0,1,1,0,2250.45,0
30994200000000.0,16059,2,0,1,1,0,2985.23,0
26828900000000.0,16059,2,0,1,1,0,2984.8,0
31486100000000.0,16059,2,0,1,1,0,3141.04,0
29189200000000.0,16059,2,0,1,1,0,1749.88,0
41663700000000.0,16059,2,0,1,1,0,3415.01,0
36686600000000.0,16059,2,0,1,1,0,3295.85,0
33608700000000.0,16059,2,0,1,1,0,1922.83,0
44436100000000.0,16059,2,0,1,1,0,4308.88,0
44436100000000.0,16059,2,0,1,1,0,3990.05,0
43446800000000.0,16059,2,0,1,1,0,3551.17,0
44436100000000.0,16059,2,0,1,1,0,2567.68,0
36564600000000.0,16059,2,0,1,1,0,2251.54,0
44436100000000.0,16059,2,0,1,1,0,4818.66,0
36564600000000.0,16059,2,0,1,1,0,3364.5,0
35120200000000.0,16059,2,0,1,1,0,3642.2,0
33418300000000.0,16059,2,0,1,1,0,3350.13,0
38849800000000.0,16059,2,0,1,1,0,4223.39,0
38393400000000.0,16059,2,0,1,1,0,3127.28,0
28000700000000.0,16059,2,0,1,1,0,3398.95,0
42182700000000.0,16059,2,0,1,1,0,4587.47,0
41264500000000.0,16059,2,0,1,1,0,2427.97,0
23514100000000.0,16059,2,0,1,1,0,2295.55,0
31959900000000.0,16059,2,0,1,1,0,2681.14,0
44436100000000.0,16059,2,0,1,1,0,2515.75,0
26821000000000.0,16059,2,0,1,1,0,3023.78,0
29708700000000.0,16059,2,0,1,1,0,3376.75,0
25871600000000.0,16059,2,0,1,1,0,3018.31,0
29404200000000.0,16059,2,0,1,1,0,2877.45,0
22808600000000.0,16059,2,0,1,1,0,2171.99,0
42150800000000.0,16059,2,0,1,1,0,3532.04,0
40423900000000.0,16059,2,0,1,1,0,3331.1,0
44436100000000.0,16059,2,0,1,1,0,3701.9,0
36310600000000.0,16059,2,0,1,1,0,3279.71,0
26193400000000.0,16059,2,0,1,1,0,1595.01,0
30494700000000.0,16059,2,0,1,1,0,1808.17,0
44436100000000.0,16059,2,0,1,1,0,3674.02,0
