number_of_cells,number_of_timestep,nodes_number,gathers,wave_front_tracking,hilbert_filter,isotropic_kernel,exec_time
11834800000000.0,9440,1,0,1,1,0,2694.760222052096
8214750000000.0,9440,1,0,1,1,0,2188.5364805571025
9778270000000.0,9440,1,0,1,1,0,2407.177367921159
7579610000000.0,9440,1,0,1,1,0,2099.7192136206986
8226160000000.0,9440,1,0,1,1,0,2190.1320421903556
10870300000000.0,9440,1,0,1,1,0,2559.885621239422
9661860000000.0,9440,1,0,1,1,0,2390.898723773307
8311450000000.0,9440,1,0,1,1,0,2202.058900358643
9074070000000.0,9440,1,0,1,1,0,2308.7028278565813
9933480000000.0,9440,1,0,1,1,0,2428.8817606553584
9953970000000.0,9440,1,0,1,1,0,2431.7470593289218
10494100000000.0,9440,1,0,1,1,0,2507.27823417283
11214000000000.0,9440,1,0,1,1,0,2607.948244670543
10014700000000.0,9440,1,0,1,1,0,2440.2394745776037
7605320000000.0,9440,1,0,1,1,0,2103.314471253559
8070950000000.0,9440,1,0,1,1,0,2168.4276494561564
7912330000000.0,9440,1,0,1,1,0,2146.2464061374358
4829750000000.0,9440,1,0,1,1,0,1715.1818680626475
7954550000000.0,9440,1,0,1,1,0,2152.1504036971155
7866630000000.0,9440,1,0,1,1,0,2139.8557692715576
8690440000000.0,9440,1,0,1,1,0,2255.0564379034804
9817070000000.0,9440,1,0,1,1,0,2412.6031165075065
9894680000000.0,9440,1,0,1,1,0,2423.456012069011
10554300000000.0,9440,1,0,1,1,0,2515.696534814533
11603300000000.0,9440,1,0,1,1,0,2662.3875210794326
8614190000000.0,9440,1,0,1,1,0,2244.3937232202597
11369200000000.0,9440,1,0,1,1,0,2629.6512390159314
10205100000000.0,9440,1,0,1,1,0,2466.8647975374097
8109760000000.0,9440,1,0,1,1,0,2173.8547964313148
9002220000000.0,9440,1,0,1,1,0,2298.655404250163
8303770000000.0,9440,1,0,1,1,0,2200.9849377518613
9519930000000.0,9440,1,0,1,1,0,2371.051391380002
7879120000000.0,9440,1,0,1,1,0,2141.6023568963897
10049900000000.0,9440,1,0,1,1,0,2445.1618031920216
8439660000000.0,9440,1,0,1,1,0,2219.987643303374
8873700000000.0,9440,1,0,1,1,0,2280.6833112522936
11613000000000.0,9440,1,0,1,1,0,2663.7439582260195
9200970000000.0,9440,1,0,1,1,0,2326.4483818670824
11136400000000.0,9440,1,0,1,1,0,2597.096747497849
8970150000000.0,9440,1,0,1,1,0,2294.170771333561
6827620000000.0,9440,1,0,1,1,0,1994.561773428762
7455840000000.0,9440,1,0,1,1,0,2082.4113553080133
11446800000000.0,9440,1,0,1,1,0,2640.5027361886255
8924610000000.0,9440,1,0,1,1,0,2287.8025086886582
8073140000000.0,9440,1,0,1,1,0,2168.733896605747
7915740000000.0,9440,1,0,1,1,0,2146.723256721957
5116260000000.0,9440,1,0,1,1,0,1755.2471058841502
7339930000000.0,9440,1,0,1,1,0,2066.2026306007074
11304300000000.0,9440,1,0,1,1,0,2620.575695633098
7652470000000.0,9440,1,0,1,1,0,2109.9078744970193
8606790000000.0,9440,1,0,1,1,0,2243.358915500183
9351440000000.0,9440,1,0,1,1,0,2347.4899383049087
10069700000000.0,9440,1,0,1,1,0,2447.9306130376317
7721730000000.0,9440,1,0,1,1,0,2119.593115401411
9770710000000.0,9440,1,0,1,1,0,2406.120185980108
11175200000000.0,9440,1,0,1,1,0,2602.522496084196
7090860000000.0,9440,1,0,1,1,0,2031.3729604872674
5899240000000.0,9440,1,0,1,1,0,1864.7381530011098
6438050000000.0,9440,1,0,1,1,0,1940.0847405219777
10764200000000.0,9440,1,0,1,1,0,2545.0487159556224
8082780000000.0,9440,1,0,1,1,0,2170.081943419468
10243900000000.0,9440,1,0,1,1,0,2472.290546123757
7995970000000.0,9440,1,0,1,1,0,2157.9425301519223
11204800000000.0,9440,1,0,1,1,0,2606.661726964502
5426780000000.0,9440,1,0,1,1,0,1798.6698752406578
10282700000000.0,9440,1,0,1,1,0,2477.716294710104
10088700000000.0,9440,1,0,1,1,0,2450.587551778369
5276750000000.0,9440,1,0,1,1,0,1777.689847910512
7561930000000.0,9440,1,0,1,1,0,2097.2468622030024
7333700000000.0,9440,1,0,1,1,0,2065.3314343715074
6324640000000.0,9440,1,0,1,1,0,1924.2256130173998
8730600000000.0,9440,1,0,1,1,0,2260.6723673681117
8963420000000.0,9440,1,0,1,1,0,2293.2296556638157
7225640000000.0,9440,1,0,1,1,0,2050.220444880769
10291600000000.0,9440,1,0,1,1,0,2478.9608607518176
6186130000000.0,9440,1,0,1,1,0,1904.8565295974272
11526800000000.0,9440,1,0,1,1,0,2651.689846675939
11314000000000.0,9440,1,0,1,1,0,2621.932132779685
10981200000000.0,9440,1,0,1,1,0,2575.3937531524607
9577050000000.0,9440,1,0,1,1,0,2379.0389882679438
7644120000000.0,9440,1,0,1,1,0,2108.740219839906
9623060000000.0,9440,1,0,1,1,0,2385.47297518696
10195100000000.0,9440,1,0,1,1,0,2465.4664087264955
10631900000000.0,9440,1,0,1,1,0,2526.5480319872277
9153410000000.0,9440,1,0,1,1,0,2319.797644682375
6790470000000.0,9440,1,0,1,1,0,1989.3667589962158
10011100000000.0,9440,1,0,1,1,0,2439.7360546056743
10011800000000.0,9440,1,0,1,1,0,2439.8339418224386
10127500000000.0,9440,1,0,1,1,0,2456.0133003647156
7610160000000.0,9440,1,0,1,1,0,2103.9912914380416
